[2020-10-12T11:00:36.735] [INFO] sql - Executing (default): SELECT `id`, `name`, `birthday`, `sex`, `mobile`, `deletedAt`, `ClassId` FROM `Student` AS `Student` WHERE (`Student`.`deletedAt` IS NULL);
[2020-10-12T11:01:32.614] [INFO] sql - Executing (default): SELECT `id`, `name`, `birthday`, `sex`, `mobile`, `deletedAt`, `ClassId` FROM `Student` AS `Student` WHERE (`Student`.`deletedAt` IS NULL);
[2020-10-12T11:09:10.562] [INFO] sql - Executing (default): SELECT count(`Student`.`id`) AS `count` FROM `Student` AS `Student` LEFT OUTER JOIN `Class` AS `Class` ON `Student`.`ClassId` = `Class`.`id` AND (`Class`.`deletedAt` IS NULL) WHERE (`Student`.`deletedAt` IS NULL AND (`Student`.`sex` = true AND `Student`.`name` LIKE '%秀%'));
[2020-10-12T11:09:10.569] [INFO] sql - Executing (default): SELECT `Student`.`id`, `Student`.`name`, `Student`.`sex`, `Student`.`birthday`, `Class`.`id` AS `Class.id`, `Class`.`name` AS `Class.name`, `Class`.`openDate` AS `Class.openDate`, `Class`.`deletedAt` AS `Class.deletedAt` FROM `Student` AS `Student` LEFT OUTER JOIN `Class` AS `Class` ON `Student`.`ClassId` = `Class`.`id` AND (`Class`.`deletedAt` IS NULL) WHERE (`Student`.`deletedAt` IS NULL AND (`Student`.`sex` = true AND `Student`.`name` LIKE '%秀%')) LIMIT 0, 10;
[2020-10-12T11:10:30.298] [INFO] sql - Executing (default): SELECT count(`Student`.`id`) AS `count` FROM `Student` AS `Student` LEFT OUTER JOIN `Class` AS `Class` ON `Student`.`ClassId` = `Class`.`id` AND (`Class`.`deletedAt` IS NULL) WHERE (`Student`.`deletedAt` IS NULL AND (`Student`.`sex` = true AND `Student`.`name` LIKE '%秀%'));
[2020-10-12T11:10:30.298] [INFO] sql - Executing (default): SELECT `Student`.`id`, `Student`.`name`, `Student`.`sex`, `Student`.`birthday`, `Class`.`id` AS `Class.id`, `Class`.`name` AS `Class.name`, `Class`.`openDate` AS `Class.openDate`, `Class`.`deletedAt` AS `Class.deletedAt` FROM `Student` AS `Student` LEFT OUTER JOIN `Class` AS `Class` ON `Student`.`ClassId` = `Class`.`id` AND (`Class`.`deletedAt` IS NULL) WHERE (`Student`.`deletedAt` IS NULL AND (`Student`.`sex` = true AND `Student`.`name` LIKE '%秀%')) LIMIT 0, 10;
[2020-10-12T11:11:13.067] [INFO] sql - Executing (default): SELECT count(`Student`.`id`) AS `count` FROM `Student` AS `Student` LEFT OUTER JOIN `Class` AS `Class` ON `Student`.`ClassId` = `Class`.`id` AND (`Class`.`deletedAt` IS NULL) WHERE (`Student`.`deletedAt` IS NULL AND (`Student`.`sex` = true AND `Student`.`name` LIKE '%秀%'));
[2020-10-12T11:11:13.077] [INFO] sql - Executing (default): SELECT `Student`.`id`, `Student`.`name`, `Student`.`sex`, `Student`.`birthday`, `Class`.`id` AS `Class.id`, `Class`.`name` AS `Class.name`, `Class`.`openDate` AS `Class.openDate`, `Class`.`deletedAt` AS `Class.deletedAt` FROM `Student` AS `Student` LEFT OUTER JOIN `Class` AS `Class` ON `Student`.`ClassId` = `Class`.`id` AND (`Class`.`deletedAt` IS NULL) WHERE (`Student`.`deletedAt` IS NULL AND (`Student`.`sex` = true AND `Student`.`name` LIKE '%秀%')) LIMIT 0, 10;
[2020-10-12T11:13:28.053] [INFO] sql - Executing (default): SELECT count(`Student`.`id`) AS `count` FROM `Student` AS `Student` LEFT OUTER JOIN `Class` AS `Class` ON `Student`.`ClassId` = `Class`.`id` AND (`Class`.`deletedAt` IS NULL) WHERE (`Student`.`deletedAt` IS NULL AND (`Student`.`sex` = true AND `Student`.`name` LIKE '%秀%'));
[2020-10-12T11:13:28.058] [INFO] sql - Executing (default): SELECT `Student`.`id`, `Student`.`name`, `Student`.`sex`, `Student`.`birthday`, `Class`.`id` AS `Class.id`, `Class`.`name` AS `Class.name`, `Class`.`openDate` AS `Class.openDate`, `Class`.`deletedAt` AS `Class.deletedAt` FROM `Student` AS `Student` LEFT OUTER JOIN `Class` AS `Class` ON `Student`.`ClassId` = `Class`.`id` AND (`Class`.`deletedAt` IS NULL) WHERE (`Student`.`deletedAt` IS NULL AND (`Student`.`sex` = true AND `Student`.`name` LIKE '%秀%')) LIMIT 0, 10;
[2020-10-12T11:14:18.019] [INFO] sql - Executing (default): SELECT count(`Student`.`id`) AS `count` FROM `Student` AS `Student` LEFT OUTER JOIN `Class` AS `Class` ON `Student`.`ClassId` = `Class`.`id` AND (`Class`.`deletedAt` IS NULL) WHERE (`Student`.`deletedAt` IS NULL AND (`Student`.`sex` = true AND `Student`.`name` LIKE '%秀%'));
[2020-10-12T11:14:18.029] [INFO] sql - Executing (default): SELECT `Student`.`id`, `Student`.`name`, `Student`.`sex`, `Student`.`birthday`, `Class`.`id` AS `Class.id`, `Class`.`name` AS `Class.name`, `Class`.`openDate` AS `Class.openDate`, `Class`.`deletedAt` AS `Class.deletedAt` FROM `Student` AS `Student` LEFT OUTER JOIN `Class` AS `Class` ON `Student`.`ClassId` = `Class`.`id` AND (`Class`.`deletedAt` IS NULL) WHERE (`Student`.`deletedAt` IS NULL AND (`Student`.`sex` = true AND `Student`.`name` LIKE '%秀%')) LIMIT 0, 10;
[2020-10-15T20:17:30.733] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND (`Admin`.`loginId` = 'mrtq' AND `Admin`.`loginPwd` = '123123')) LIMIT 1;
[2020-10-15T20:18:26.148] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND (`Admin`.`loginId` = 'mrtq' AND `Admin`.`loginPwd` = '123123')) LIMIT 1;
[2020-10-15T20:19:35.416] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND `Admin`.`id` = 1);
[2020-10-15T20:19:57.916] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND (`Admin`.`loginId` = 'mrtq' AND `Admin`.`loginPwd` = '123123')) LIMIT 1;
[2020-10-15T20:20:22.894] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND `Admin`.`id` = 1);
[2020-10-15T21:34:02.497] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND (`Admin`.`loginId` = 'mrtq' AND `Admin`.`loginPwd` = '123123')) LIMIT 1;
[2020-10-15T21:52:33.730] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND (`Admin`.`loginId` = 'mrtq' AND `Admin`.`loginPwd` = '123123')) LIMIT 1;
[2020-10-15T21:52:59.454] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND (`Admin`.`loginId` = 'mrtq' AND `Admin`.`loginPwd` = '123123')) LIMIT 1;
[2020-10-15T21:53:23.979] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND (`Admin`.`loginId` = 'mrtq' AND `Admin`.`loginPwd` = '123123')) LIMIT 1;
[2020-10-15T21:54:54.507] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND (`Admin`.`loginId` = 'mrtq' AND `Admin`.`loginPwd` = '123123')) LIMIT 1;
[2020-10-15T21:55:00.813] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND (`Admin`.`loginId` = 'mrtq' AND `Admin`.`loginPwd` = '123123')) LIMIT 1;
[2020-10-15T21:55:16.827] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND (`Admin`.`loginId` = 'mrtq' AND `Admin`.`loginPwd` = '123123')) LIMIT 1;
[2020-10-15T21:55:20.491] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND (`Admin`.`loginId` = 'mrtq' AND `Admin`.`loginPwd` = '123123')) LIMIT 1;
[2020-10-15T21:55:42.076] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND (`Admin`.`loginId` = 'mrtq' AND `Admin`.`loginPwd` = '123123')) LIMIT 1;
[2020-10-15T21:55:58.864] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND (`Admin`.`loginId` = 'mrtq' AND `Admin`.`loginPwd` = '123123')) LIMIT 1;
[2020-10-15T21:56:35.900] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND `Admin`.`id` = 1);
[2020-10-15T21:56:43.774] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND `Admin`.`id` = 1);
[2020-10-15T21:56:57.475] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND `Admin`.`id` = 1);
[2020-10-15T22:24:07.883] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND `Admin`.`id` = 1);
[2020-10-15T22:24:09.025] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND `Admin`.`id` = 1);
[2020-10-15T22:24:36.345] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND `Admin`.`id` = 1);
